pair,set,direction,logodds_rec,entropy_rec
0,direction,control_to_uncertain,0.14500113576758056,0.15807060597842265
0,direction,uncertain_to_control,0.9321359556306988,0.5652768797974749
0,random0,control_to_uncertain,-0.01514958143198906,0.038340526100436666
0,random1,control_to_uncertain,-0.00010129760636820545,0.03703284418737166
0,random2,control_to_uncertain,-0.014849227770840212,0.051149126048085546
0,random3,control_to_uncertain,0.000920396870814649,-0.0056127963531867565
0,random4,control_to_uncertain,-0.0054853063872780565,0.018598520750038507
0,random5,control_to_uncertain,0.005356429245132568,0.031250029530191195
0,random6,control_to_uncertain,-0.004059845779897263,0.018094286829345736
0,random7,control_to_uncertain,4.229725361774237e-06,0.018190975762564034
0,random8,control_to_uncertain,0.0005963912760101673,0.009533271784540165
0,random9,control_to_uncertain,-0.00409320881769983,0.017334912056728206
1,direction,control_to_uncertain,0.6117708375376186,0.4126252680970171
1,direction,uncertain_to_control,0.8955708228766525,0.31903437959432357
1,random0,control_to_uncertain,-0.0012089414296447294,-0.0402860272599655
1,random1,control_to_uncertain,-0.0016095602595124017,0.032330920861722436
1,random2,control_to_uncertain,-0.025067182880002037,0.08868322737946475
1,random3,control_to_uncertain,-0.01853049442599376,0.08067270801812192
1,random4,control_to_uncertain,-0.003829780964858339,-0.06400545242141265
1,random5,control_to_uncertain,-0.021194585346082952,0.07109188700681124
1,random6,control_to_uncertain,-0.02324668579549323,0.0066185028970004185
1,random7,control_to_uncertain,0.0023802840800067238,-0.007944666274760493
1,random8,control_to_uncertain,0.0023850158991681565,-0.04706514744131312
1,random9,control_to_uncertain,0.0024456343392362393,-0.037448722931972156
2,direction,control_to_uncertain,0.35184060201124734,0.29948315149151794
2,direction,uncertain_to_control,0.523611733121457,-0.04622396048598521
2,random0,control_to_uncertain,-0.0021003351134360328,0.008149767303145638
2,random1,control_to_uncertain,-0.002319314239437863,0.006549013623522826
2,random2,control_to_uncertain,0.011085393216719204,-0.00017871312831010253
2,random3,control_to_uncertain,0.010776334556354043,0.0010636796025988318
2,random4,control_to_uncertain,0.0020491889795807914,0.004719821196206557
2,random5,control_to_uncertain,-0.00032651351823487185,0.009453662773818195
2,random6,control_to_uncertain,0.0009954652789299038,-0.003366947859825582
2,random7,control_to_uncertain,0.006677474888452549,0.011761043676257103
2,random8,control_to_uncertain,-0.00527516407495558,-0.004118066426300469
2,random9,control_to_uncertain,0.006085284832252724,-0.006334969134071919
3,direction,control_to_uncertain,0.49193629121157273,0.24825203174635094
3,direction,uncertain_to_control,0.6993066021769219,0.015084237419188847
3,random0,control_to_uncertain,0.0053693938397663295,0.009045743289320096
3,random1,control_to_uncertain,0.005262251067575339,0.0011159300024010073
3,random2,control_to_uncertain,-0.0019031028071096055,-0.011898713289707308
3,random3,control_to_uncertain,0.0011595412758739195,0.013660854403473767
3,random4,control_to_uncertain,-0.0016105027219538539,0.012112643253743543
3,random5,control_to_uncertain,0.0009557011175839181,-0.02429474243581085
3,random6,control_to_uncertain,0.005218426984837953,-0.004675011504083816
3,random7,control_to_uncertain,0.007403296667270293,0.008171910696220093
3,random8,control_to_uncertain,0.0019569844521979316,0.0011517276163830704
3,random9,control_to_uncertain,-0.006304230040082359,-0.004933581520615611
4,direction,control_to_uncertain,0.2590474956324907,0.23486299149061632
4,direction,uncertain_to_control,1.0563793858791557,0.7948346677142435
4,random0,control_to_uncertain,0.009566977447825859,0.010859081045366228
4,random1,control_to_uncertain,0.006643690386416196,0.018331886381474226
4,random2,control_to_uncertain,-0.015600035120261223,0.06449702837196272
4,random3,control_to_uncertain,0.010473368227769167,-0.02977802424508724
4,random4,control_to_uncertain,0.0077990811059420635,0.014634767843856608
4,random5,control_to_uncertain,0.014697713072309538,0.05304746029321806
4,random6,control_to_uncertain,-0.013109486768532,0.026721212532045967
4,random7,control_to_uncertain,0.014716894237412901,0.0206518552155196
4,random8,control_to_uncertain,0.0015847388192132888,0.02970664310163319
4,random9,control_to_uncertain,0.013101995135023616,0.033140615135579254
5,direction,control_to_uncertain,0.7923244582968773,-0.08278226146040855
5,direction,uncertain_to_control,1.0738463023449152,0.2593186907062583
5,random0,control_to_uncertain,-0.004485832220191409,-0.015063014492532155
5,random1,control_to_uncertain,-0.0405167054320288,0.021204494910447957
5,random2,control_to_uncertain,-0.02878533122848315,-0.017891534914516886
5,random3,control_to_uncertain,-0.022080272841724192,-0.02336850747052465
5,random4,control_to_uncertain,-0.03817095991754966,0.022875286859103294
5,random5,control_to_uncertain,-0.053682501824099706,-0.010748331987762883
5,random6,control_to_uncertain,-0.024915645118937527,0.012470897845686495
5,random7,control_to_uncertain,-0.0416492559852785,-0.005385626958378053
5,random8,control_to_uncertain,-0.048055556420467695,0.015268285498441623
5,random9,control_to_uncertain,-0.0025391571673366274,-0.02133894741931866
6,direction,control_to_uncertain,0.20140679135203757,0.6018407141603888
6,direction,uncertain_to_control,1.2849919000076178,0.0043666972687661605
6,random0,control_to_uncertain,-0.00923124833501813,0.04042479282690187
6,random1,control_to_uncertain,0.011702763448767604,0.05054928715234365
6,random2,control_to_uncertain,-0.023601262427081805,0.0018478513460179814
6,random3,control_to_uncertain,0.010097523401427335,0.0015911392406855833
6,random4,control_to_uncertain,-0.019072884427636067,-0.0239271316004983
6,random5,control_to_uncertain,-0.01675976154552655,-0.05760309232728471
6,random6,control_to_uncertain,-0.0025650597023180125,-0.0013122225578398798
6,random7,control_to_uncertain,-0.00849593569260488,-0.02869375200290812
6,random8,control_to_uncertain,-0.006337776316179815,0.010342688286108247
6,random9,control_to_uncertain,0.001666658964456187,-0.018076565291724675
7,direction,control_to_uncertain,0.38549876352594675,0.6272595461637037
7,direction,uncertain_to_control,0.20359588983713747,-0.13188491202418418
7,random0,control_to_uncertain,0.008135454273035976,0.04709909336560021
7,random1,control_to_uncertain,0.017338856679949437,-0.014787392481686179
7,random2,control_to_uncertain,0.005805457770544068,0.02345750782683344
7,random3,control_to_uncertain,0.019181265632300253,-0.03316994943753133
7,random4,control_to_uncertain,0.0019420605949009048,-0.015294432885813915
7,random5,control_to_uncertain,-0.019142463222811726,0.0022709347665308003
7,random6,control_to_uncertain,0.016274347850549344,-0.022000042230403225
7,random7,control_to_uncertain,-0.01839877977004634,-0.00874148679333698
7,random8,control_to_uncertain,0.025172534031917805,-0.0021235072577219204
7,random9,control_to_uncertain,0.01056959997008687,0.02971490998810005
8,direction,control_to_uncertain,0.6660646188950702,0.20504613971734642
8,direction,uncertain_to_control,0.4661562078563234,0.07671046158627262
8,random0,control_to_uncertain,0.004143292872984715,-0.05711698721361784
8,random1,control_to_uncertain,-0.004908705316499533,0.0024927980757473295
8,random2,control_to_uncertain,-0.01768427865193067,-0.01760710549323189
8,random3,control_to_uncertain,-0.004703799463246087,0.016612583988757704
8,random4,control_to_uncertain,-0.027049386918929344,0.015025424445637828
8,random5,control_to_uncertain,-0.029270077235754362,0.0009151889952184335
8,random6,control_to_uncertain,0.007296273979191841,-0.03442788956647299
8,random7,control_to_uncertain,-0.004855183777000891,0.057415343664960095
8,random8,control_to_uncertain,0.010252332105833456,-0.01712729025266099
8,random9,control_to_uncertain,-0.0004845604328575371,0.00888040213559804
9,direction,control_to_uncertain,0.17676469501377062,0.27524018957384605
9,direction,uncertain_to_control,0.9804097921290454,0.5465413477527041
9,random0,control_to_uncertain,-0.011491166258265092,0.015011370756733772
9,random1,control_to_uncertain,-0.0013364051592093438,0.023678600354798417
9,random2,control_to_uncertain,-0.016596704858134106,0.059006566231050626
9,random3,control_to_uncertain,-0.0001520852888481894,-0.010625552396537532
9,random4,control_to_uncertain,-0.011781110088977167,0.03071079763535249
9,random5,control_to_uncertain,-0.0011961830683257023,0.026371488992105965
9,random6,control_to_uncertain,-0.009819864384102532,0.026730620724016645
9,random7,control_to_uncertain,-0.005785877094632821,0.024880061419197862
9,random8,control_to_uncertain,-0.004257251766105189,0.014374619167978922
9,random9,control_to_uncertain,-0.004078531097918972,0.028490917614239716
10,direction,control_to_uncertain,0.7646304361882398,0.3716532212982289
10,direction,uncertain_to_control,0.6972019100435187,0.7204486984409032
10,random0,control_to_uncertain,-0.004274198444871475,-0.029266201554373476
10,random1,control_to_uncertain,-0.016490221110227087,0.019689926466499776
